DATE_CONVERTED,SALES,COST_OF_SALES,QUANTITY_SOLD,PRICE_PER_UNIT,GROSS_PROFIT,GROSS_PROFIT_PERCENT,GROSS_PROFIT_PER_UNIT,MONTH,MONTH_NUMBER
2013-12-30,223937.96790,230079.62100,6827,32.80181161564,-6141.65310,-0.02742568917,-0.89961228944,F12onth,12
2013-12-31,300345.48460,306986.12050,9268,32.40672039275,-6640.63590,-0.02210999080,-0.71651228960,F12onth,12
2014-01-01,86782.46773,87986.31821,2678,32.40570116878,-1203.85048,-0.01387204710,-0.44953341299,F01onth,1
2014-01-02,200173.11680,202881.17770,6175,32.41669907692,-2708.06090,-0.01352859437,-0.43855237247,F01onth,1
2014-01-03,326906.07420,333806.29190,10084,32.41829375248,-6900.21770,-0.02110764603,-0.68427386950,F01onth,1
2014-01-04,307043.93540,313652.34830,9470,32.42280204857,-6608.41290,-0.02152269476,-0.69782607181,F01onth,1
2014-01-05,179188.88450,183083.28500,5524,32.43824846126,-3894.40050,-0.02173349374,-0.70499646995,F01onth,1
2014-01-06,306351.95090,313446.06810,9448,32.42505830864,-7094.11720,-0.02315675542,-0.75085914479,F01onth,1
2014-01-07,224020.41000,229533.97370,6911,32.41504992042,-5513.56370,-0.02461188112,-0.79779535523,F01onth,1
2014-01-08,101836.40220,99381.96752,2990,34.05899739130,2454.43468,0.02410174188,0.82088116388,F01onth,1
2014-01-09,107804.30490,104816.45850,3159,34.12608575499,2987.84640,0.02771546464,0.94582032289,F01onth,1
2014-01-10,144829.95670,141333.99630,4246,34.10974015544,3495.96040,0.02413837910,0.82335383891,F01onth,1
2014-01-11,146571.48240,143179.67000,4297,34.11018906214,3391.81240,0.02314101177,0.78934428671,F01onth,1
2014-01-12,95422.37298,93126.14724,2796,34.12817345494,2296.22574,0.02406380881,0.82125384120,F01onth,1
2014-01-13,114883.17380,112186.30870,3369,34.10008127041,2696.86510,0.02347484850,0.80049424161,F01onth,1
2014-01-14,80090.80008,78096.76018,2348,34.11022149915,1994.03990,0.02489724036,0.84925038330,F01onth,1
2014-01-15,98945.37116,97159.00259,2903,34.08383436445,1786.36857,0.01805408933,0.61535259042,F01onth,1
2014-01-16,84904.90171,83350.43316,2491,34.08466547973,1554.46855,0.01830834874,0.62403394219,F01onth,1
2014-01-17,135460.61970,132703.33540,3968,34.13826101310,2757.28430,0.02035487735,0.69488011593,F01onth,1
2014-01-18,149925.74970,146928.41180,4393,34.12832909174,2997.33790,0.01999214882,0.68229863419,F01onth,1
2014-01-19,74297.30718,72782.28432,2176,34.14398307904,1515.02286,0.02039135626,0.69624212316,F01onth,1
2014-01-20,83356.42456,81789.13612,2443,34.12051762587,1567.28844,0.01880225128,0.64154254605,F01onth,1
2014-01-21,89922.01429,88388.91607,2638,34.08719268006,1533.09822,0.01704919793,0.58115929492,F01onth,1
2014-01-22,57806.30278,57157.28254,1704,33.92388660798,649.02024,0.01122749958,0.38088042254,F01onth,1
2014-01-23,63977.75035,62863.98724,1872,34.17614869124,1113.76311,0.01740860071,0.59495892628,F01onth,1
2014-01-24,116958.79980,114823.79520,3423,34.16850709904,2135.00460,0.01825433062,0.62372322524,F01onth,1
2014-01-25,155272.82480,152636.27660,4544,34.17095616197,2636.54820,0.01698010069,0.58022627641,F01onth,1
2014-01-26,82885.21591,81583.16695,2426,34.16538166117,1302.04896,0.01570906157,0.53670608409,F01onth,1
2014-01-27,72353.42588,71377.15646,2117,34.17733863014,976.26942,0.01349306419,0.46115702409,F01onth,1
2014-01-28,50415.90376,49769.09824,1476,34.15711636856,646.80552,0.01282939453,0.43821512195,F01onth,1
2014-01-29,67458.30189,66529.44200,1974,34.17340521277,928.85989,0.01376939330,0.47054705674,F01onth,1
2014-01-30,64640.36931,63757.83987,1892,34.16510005814,882.52944,0.01365291457,0.46645319239,F01onth,1
2014-01-31,137693.87350,135609.50760,4030,34.16721426799,2084.36590,0.01513768076,0.51721238213,F01onth,1
2014-02-01,181209.12850,178435.71530,5304,34.16461698718,2773.41320,0.01530504132,0.52289087481,F02onth,2
2014-02-02,113433.58100,111466.51680,3320,34.16674126506,1967.06420,0.01734110995,0.59248921687,F02onth,2
2014-02-03,143192.53340,140505.63470,4191,34.16667463613,2686.89870,0.01876423747,0.64111159628,F02onth,2
2014-02-04,130126.64990,128496.28770,3809,34.16294300341,1630.36220,0.01252904152,0.42802893148,F02onth,2
2014-02-05,187155.86850,195078.60330,5764,32.46978981610,-7922.73480,-0.04233228091,-1.37452026371,F02onth,2
2014-02-06,102314.70960,101977.99000,3028,33.78953421400,336.71960,0.00329101848,0.11120198151,F02onth,2
2014-02-07,301553.84260,313529.18770,9284,32.48102570013,-11975.34510,-0.03971212901,-1.28989068290,F02onth,2
2014-02-08,316073.17750,329754.77950,9737,32.46104318579,-13681.60200,-0.04328618489,-1.40511471706,F02onth,2
2014-02-09,135178.04260,141530.70870,4163,32.47130497238,-6352.66610,-0.04699480757,-1.52598272880,F02onth,2
2014-02-10,147727.51620,154828.68460,4552,32.45332078207,-7101.16840,-0.04806936841,-1.56001063269,F02onth,2
2014-02-11,135498.74640,139824.16160,4172,32.47812713327,-4325.41520,-0.03192217873,-1.03677257910,F02onth,2
2014-02-12,163432.84520,166893.36890,5037,32.44646519754,-3460.52370,-0.02117397942,-0.68702078618,F02onth,2
2014-02-13,138291.63330,141027.43450,4259,32.47044688894,-2735.80120,-0.01978283960,-0.64235764264,F02onth,2
2014-02-14,336901.37170,343519.87550,10381,32.45365299104,-6618.50380,-0.01964522663,-0.63755936808,F02onth,2
2014-02-15,367729.26820,373973.59330,11332,32.45051784328,-6244.32510,-0.01698076721,-0.55103468938,F02onth,2
2014-02-16,133913.84140,136797.07740,4127,32.44822907681,-2883.23600,-0.02153053015,-0.69862757451,F02onth,2
2014-02-17,150800.34700,152887.10640,4649,32.43715788342,-2086.75940,-0.01383789521,-0.44886199183,F02onth,2
2014-02-18,55591.93034,53463.24421,1627,34.16836529809,2128.68613,0.03829127927,1.30835041795,F02onth,2
2014-02-19,106427.19180,107736.44410,3281,32.43742511429,-1309.25230,-0.01230185893,-0.39904062786,F02onth,2
2014-02-20,78940.55442,75934.39482,2310,34.17340018182,3006.15960,0.03808130842,1.30136779221,F02onth,2
2014-02-21,317916.31790,322089.78900,9802,32.43382145481,-4173.47110,-0.01312757749,-0.42577750459,F02onth,2
2014-02-22,309217.87560,320116.92430,9772,31.64325374540,-10899.04870,-0.03524714953,-1.11533449652,F02onth,2
2014-02-23,138491.55000,140752.60160,4270,32.43361826698,-2261.05160,-0.01632627839,-0.52952028103,F02onth,2
2014-02-24,133146.22220,134505.40420,4106,32.42723385290,-1359.18200,-0.01020819050,-0.33102338042,F02onth,2
2014-02-25,224994.65620,227546.44660,6937,32.43399974052,-2551.79040,-0.01134156003,-0.36785215511,F02onth,2
2014-02-26,225051.59150,228214.14210,6934,32.45624336602,-3162.55060,-0.01405255826,-0.45609325065,F02onth,2
2014-02-27,344299.68240,365935.65300,11082,31.06837054683,-21635.97060,-0.06284051861,-1.95235251760,F02onth,2
2014-02-28,661876.50000,686656.79100,20805,31.81333813987,-24780.29100,-0.03743944830,-1.19107382841,F02onth,2
2014-03-01,846678.38820,872081.58500,26410,32.05900750473,-25403.19680,-0.03000336037,-0.96187795532,F03onth,3
2014-03-02,478902.30490,495554.44990,15004,31.91830877766,-16652.14500,-0.03477148644,-1.10984704079,F03onth,3
2014-03-03,538827.20210,557567.13700,16884,31.91348034234,-18739.93490,-0.03477911810,-1.10992270197,F03onth,3
2014-03-04,310346.12130,323325.02990,9789,31.70355718664,-12978.90860,-0.04182075338,-1.32586664624,F03onth,3
2014-03-05,256390.52220,267308.50710,8079,31.73542792425,-10917.98490,-0.04258341848,-1.35140300780,F03onth,3
2014-03-06,167803.65980,168135.69000,5072,33.08431778391,-332.03020,-0.00197868271,-0.06546336751,F03onth,3
2014-03-07,465318.02150,483774.59670,14551,31.97842220466,-18456.57520,-0.03966443238,-1.26840596523,F03onth,3
2014-03-08,520146.74960,541498.95820,16262,31.98541074899,-21352.20860,-0.04105035476,-1.31301245849,F03onth,3
2014-03-09,224699.25280,233589.98300,7014,32.03582161392,-8890.73020,-0.03956724417,-1.26756917593,F03onth,3
2014-03-10,286230.67890,297642.89140,8932,32.04553055307,-11412.21250,-0.03987068243,-1.27767717197,F03onth,3
2014-03-11,187143.01810,191499.04280,5737,32.62036222765,-4356.02470,-0.02327644784,-0.75928616001,F03onth,3
2014-03-12,191700.38910,197153.42400,5903,32.47507862104,-5453.03490,-0.02844561206,-0.92377348806,F03onth,3
2014-03-13,164663.96760,168975.17400,5056,32.56803156646,-4311.20640,-0.02618184453,-0.85269113924,F03onth,3
2014-03-14,395941.34510,406765.91400,12167,32.54223268678,-10824.56890,-0.02733881933,-0.88966622010,F03onth,3
2014-03-15,518183.21040,534383.14310,15971,32.44525767954,-16199.93270,-0.03126294402,-1.01433427462,F03onth,3
2014-03-16,226617.95490,233191.10460,6968,32.52266861366,-6573.14970,-0.02900542326,-0.94333376866,F03onth,3
